PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
CLMBAHL_6_N001,,CLMBAHL_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,1.851,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RCARMEL_6_N011,,RCARMEL_6_N011,,2013-05-09T00:00:00,2030-12-31T23:59:59,2013-05-09T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
CCJCT1_1_B1,,CCJCT1_1_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CLOVIS_1_N101,,CLOVIS_1_N101,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,39.733,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
REDWOOD_6_N007,,REDWOOD_6_N007,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,8.761,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
FRIARS_1_N009,,FRIARS_1_N009,,2013-11-21T00:00:00,2030-12-31T23:59:59,2013-11-21T08:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
GAREY_1_N002,,GAREY_1_N002,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,2.28,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
PURISIMA_1_N001,,PURISIMA_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,4.316,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
ROA-230_2_N101,,ROA-230_2_N101,,2017-08-17T00:00:00,2030-12-31T23:59:59,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CONTADNA_1_N001,,CONTADNA_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,7.56,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
REEDLEY_1_N001,,REEDLEY_1_N001,,2012-03-22T00:00:00,2030-12-31T23:59:59,2012-03-22T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
RENWIND_1_N001,,RENWIND_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
RIOHONDO_6_N001,,RIOHONDO_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,714,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
